domain_id,domain_name,objective_id,objective_name,objective_text,control_id,control_name,specification_text,level,question_id,question_text
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",1,10,An ISMP that addresses the overall security program of the organization is documented.
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",1,20,Management approves and has signed acceptance of the ISMP.
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",1,30,All excluded control domains and reasons for exclusion are documented.
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",1,40,"The ISMP is updated at least annually, or when there are significant changes in the environment."
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",2,10,"The ISMP incorporates a Plan, Do, Check, Act cycle to ensure continuous improvement."
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",2,20,Monitoring and reviewing procedures are performed that promptly detect errors in the results of processing.
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",2,30,Monitoring and reviewing procedures are performed that promptly identify attempted and successful security breaches and incidents.
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",2,40,Monitoring and reviewing procedures are performed that enable management to determine whether the security activities delegated to people or implemented by information technology are performing as expected.
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",2,50,Monitoring and reviewing procedures are performed that help detect security events and thereby prevent security incidents by the use of indicators.
00,ISMS,0.01,Information Security Management Program,To implement and manage an Information Security Management Program.,00.a,Information Security Management Program,"An Information Security Management Program (ISMP) shall be defined in terms of the characteristics of the business, and established and managed including monitoring, maintenance and improvement.",2,60,Monitoring and reviewing procedures are performed that determine whether the actions taken to resolve a breach of security were effective.
